FID,Lat,Lng,Perception Safety,Rural/Urban,Q2 Enclosure,Q3 Human scale,Q4 Diversity/Complexity,Q5 Averall/Better
282,55.678238,12.539761,7.45339151,1,4.817963811,6.403785185,4.609584887,6.313036084
283,55.678704,12.539941,6.179881253,1,5.120267422,3.864106056,4.703211809,5.136978705
284,55.678511,12.538521,5.870804027,1,3.092435143,4.476426572,6.320277043,4.715505767
285,55.678997,12.538638,7.001467574,1,6.784754015,6.104894433,5.6996015,4.992790595
286,55.677257,12.537783,6.261276902,1,5.094833224,5.284781054,6.058228543,5.171362023
287,55.677688,12.538037,6.134844172,1,7.117215319,5.61765756,7.016259651,5.595053239
288,55.678119,12.53829,8.219797181,1,7.545599884,7.093235239,8.293153927,5.799504584
289,55.68008,12.545901,8.001098952,1,6.43049197,6.470946902,6.930529546,6.42579858
290,55.680235,12.545425,6.722694478,1,6.85088293,6.810761637,5.16522192,5.382098492
291,55.680375,12.544945,7.348123918,1,4.847758157,4.589501732,7.039324599,4.773365868
292,55.682489,12.557214,5.231698897,1,3.446697188,3.2256886,3.541593558,4.847123632
293,55.682766,12.556798,6.24688271,1,3.092435143,4.010291568,6.942239537,4.526397515
294,55.683043,12.556382,6.967063483,1,4.379768912,6.056573804,5.232850534,5.527395741
295,55.683351,12.555989,6.886020297,1,4.089819054,5.443989785,4.098373062,5.630730553
296,55.683692,12.555623,5.911291885,1,3.427076521,4.700752979,5.509315035,5.594868382
297,55.684087,12.555327,4.681045083,1,3.523363128,3.848348274,3.239479855,5.028283052
298,55.68437,12.554917,6.652441005,1,3.375118087,4.847571885,6.736129304,4.490165631
299,55.684589,12.554468,6.210412347,1,3.541530412,4.864401773,6.5513096,4.700532387
300,55.684756,12.553997,6.645859083,1,3.670154785,5.515167756,5.979394265,4.867272996
301,55.684893,12.553516,5.49428438,1,3.446697188,4.027619924,5.10804212,4.567065957
302,55.684976,12.553024,6.736419304,1,6.105660926,7.118957594,5.477030862,5.209627329
303,55.685012,12.552525,5.767625,1,4.059661362,5.264830882,5.919689589,5.073388051
304,55.685047,12.552026,4.614231195,1,3.179274762,3.759518265,3.271871132,4.600524993
305,55.685076,12.551527,5.081602328,1,3.219606133,3.484755078,5.5602419,3.769225081
306,55.685102,12.551028,6.472630733,1,3.092435143,4.356168169,6.757367283,4.689995563
307,55.685127,12.550528,6.383473438,1,3.71775307,3.540502859,4.301919448,5.909679089
